ADDU;20;3
SUBU;21;3
MULU;22;3
DIVU;23;3
ADD;24;3
SUB;25;3
MUL;26;3
DIV;27;3
RR;28;3
RL;29;3
SRL;2a;3
SLL;2b;3
SRA;2c;3
OR;2d;3
AND;2e;3
XOR;2f;3
NOT;30;2
JMP;40;1
BEQ;41;3
BGTU;42;3
BLTU;43;3
BGEQU;44;3
BLEQU;45;3
BGEQ;46;3
BGT;47;3
BLT;48;3
BLEQ;49;3
LC;14;2
NOP;50;0
